Stock,Accuracy,Precision,Recall,F1 Score,ROC AUC,Sharpe Ratio,Max Drawdown (%),Signal Accuracy (%)
HDFC Bank,0.49,0.57,0.23,0.33,0.47,0.04,24.99,49.44
Reliance,0.48,0.47,0.27,0.34,0.49,0.18,29.06,47.95
Infosys,0.48,0.48,0.56,0.52,0.47,-0.03,22.25,48.13
ITC,0.54,0.55,0.41,0.47,0.54,1.79,22.58,53.73
Tata Motors,0.48,0.43,0.15,0.22,0.47,-1.87,71.75,47.76
Sun Pharma,0.5,0.53,0.52,0.53,0.51,-0.25,27.96,49.81
L&T,0.48,0.68,0.06,0.11,0.53,-0.83,43.7,47.76
Bharti Airtel,0.47,0.48,0.28,0.35,0.48,-1.09,51.72,46.83
Bajaj Finance,0.49,0.49,0.66,0.56,0.5,-0.12,38.63,49.25
Tata Chemicals,0.52,0.54,0.52,0.53,0.53,0.04,46.51,51.68
