Stock,Accuracy,Precision,Recall,F1 Score,ROC AUC,Sharpe Ratio,Max Drawdown (%)
HDFC Bank,0.53,0.53,1.0,0.7,0.46,0.4,19.91
Reliance,0.5,0.5,1.0,0.67,0.51,0.12,24.46
Infosys,0.5,0.5,1.0,0.66,0.5,0.61,26.17
ITC,0.51,0.51,0.9,0.65,0.53,1.18,16.84
Tata Motors,0.5,0.0,0.0,0.0,0.53,-1.09,70.95
Sun Pharma,0.53,0.54,0.79,0.64,0.5,1.2,18.88
L&T,0.46,0.0,0.0,0.0,0.53,-1.33,55.73
Bharti Airtel,0.52,0.52,1.0,0.68,0.51,1.69,13.89
Bajaj Finance,0.49,0.49,1.0,0.66,0.5,0.1,22.74
Tata Chemicals,0.53,0.53,1.0,0.69,0.49,0.15,24.2
