Stock,Accuracy,Precision,Recall,F1 Score,ROC AUC,Sharpe Ratio,Max Drawdown (%)
HDFC Bank,0.53,0.53,0.92,0.68,0.49,0.34,19.03
Reliance,0.51,0.52,0.45,0.48,0.5,0.01,29.4
Infosys,0.5,0.5,0.63,0.56,0.52,0.24,29.27
ITC,0.48,0.49,0.92,0.64,0.45,1.05,16.84
Tata Motors,0.5,0.49,0.36,0.42,0.49,-0.43,49.54
Sun Pharma,0.54,0.54,1.0,0.7,0.54,1.86,12.24
L&T,0.53,0.54,0.76,0.63,0.5,-0.06,26.98
Bharti Airtel,0.5,0.51,0.71,0.6,0.53,0.63,24.35
Bajaj Finance,0.5,0.49,0.62,0.55,0.5,-0.31,35.24
Tata Chemicals,0.51,0.52,0.82,0.64,0.5,-0.29,36.71
