Stock,Accuracy,Precision,Recall,F1 Score,ROC AUC,Sharpe Ratio,Max Drawdown (%)
HDFC Bank,0.53,0.53,1.0,0.7,0.49,0.4,19.91
Reliance,0.5,0.5,1.0,0.67,0.51,0.12,24.46
Infosys,0.5,0.5,1.0,0.66,0.49,0.61,26.17
ITC,0.5,0.5,0.13,0.21,0.47,-0.57,36.83
Tata Motors,0.53,0.56,0.23,0.32,0.54,-0.31,55.21
Sun Pharma,0.54,0.54,0.97,0.7,0.53,1.98,12.24
L&T,0.46,0.67,0.01,0.01,0.52,-1.32,55.39
Bharti Airtel,0.48,0.33,0.01,0.03,0.5,-1.75,61.2
Bajaj Finance,0.49,0.49,1.0,0.66,0.52,0.1,22.74
Tata Chemicals,0.53,0.53,1.0,0.69,0.54,0.15,24.2
